claim_id,policy_id,product_type,loss_date,peril,status,reserve,paid,report_date,close_date,severity_band
CL-0000001,P-000006,auto,2025-07-14,collision,closed,0.0,2890.34,2025-07-14,2025-07-31,high
CL-0000002,P-000008,homeowners,2024-11-18,water_damage,closed,0.0,4819.45,2024-11-18,2024-12-01,high
CL-0000003,P-000013,homeowners,2024-03-28,hail,closed,0.0,4167.12,2024-03-28,2024-03-28,low
CL-0000004,P-000017,homeowners,2025-08-14,fire,closed,0.0,21760.01,2025-08-14,2025-09-02,medium
CL-0000005,P-000019,auto,2024-04-10,collision,closed,0.0,1867.14,2024-04-10,2024-04-29,low
CL-0000006,P-000019,auto,2025-12-20,collision,closed,0.0,1240.97,2025-12-20,2026-01-25,high
CL-0000007,P-000021,auto,2025-01-06,theft,closed,0.0,1169.87,2025-01-06,2025-01-10,low
CL-0000008,P-000021,auto,2024-05-15,collision,open,773.01,2738.84,2024-05-15,,low
CL-0000009,P-000024,commercial_property,2025-11-27,fire,closed,0.0,9505.79,2025-11-27,2025-12-18,low
CL-0000010,P-000024,commercial_property,2025-10-05,fire,closed,0.0,3983.17,2025-10-05,2025-10-18,low
CL-0000011,P-000042,homeowners,2024-06-02,hail,closed,0.0,1948.37,2024-06-02,2024-06-25,high
CL-0000012,P-000046,homeowners,2025-09-28,hail,closed,0.0,5617.53,2025-09-28,2025-10-17,medium
CL-0000013,P-000051,auto,2025-03-13,comprehensive,closed,0.0,1253.62,2025-03-13,2025-03-26,medium
CL-0000014,P-000051,auto,2025-07-20,collision,closed,0.0,738.35,2025-07-20,2025-08-09,low
CL-0000015,P-000052,auto,2024-05-12,collision,open,1165.42,2031.68,2024-05-12,,medium
CL-0000016,P-000056,auto,2024-03-18,collision,closed,0.0,1599.84,2024-03-18,2024-04-01,low
CL-0000017,P-000064,homeowners,2025-09-15,hail,open,716.94,1958.86,2025-09-15,,medium
CL-0000018,P-000067,auto,2025-10-23,collision,open,734.6,1653.44,2025-10-23,,low
CL-0000019,P-000067,auto,2025-03-03,collision,closed,0.0,842.77,2025-03-03,2025-04-03,high
CL-0000020,P-000068,homeowners,2024-06-12,theft,closed,0.0,1453.99,2024-06-12,2024-07-06,medium
CL-0000021,P-000070,auto,2024-11-28,collision,open,962.64,1948.96,2024-11-28,,medium
CL-0000022,P-000072,auto,2024-11-09,collision,open,1057.47,1251.23,2024-11-09,,high
CL-0000023,P-000074,auto,2025-07-03,collision,open,952.43,1764.82,2025-07-03,,high
CL-0000024,P-000077,auto,2024-09-14,collision,closed,0.0,1245.24,2024-09-14,2024-09-21,medium
CL-0000025,P-000077,auto,2024-11-28,collision,closed,0.0,572.03,2024-11-28,2024-12-06,low
CL-0000026,P-000083,homeowners,2025-12-18,hail,closed,0.0,4639.21,2025-12-18,2025-12-23,low
CL-0000027,P-000083,homeowners,2025-02-10,hail,open,354.92,958.73,2025-02-10,,high
CL-0000028,P-000088,homeowners,2025-03-09,water_damage,closed,0.0,1296.67,2025-03-09,2025-04-06,low
CL-0000029,P-000089,auto,2025-11-16,comprehensive,closed,0.0,7739.98,2025-11-16,2025-12-10,low
CL-0000030,P-000091,auto,2025-04-28,comprehensive,closed,0.0,4266.8,2025-04-28,2025-05-02,medium
CL-0000031,P-000091,auto,2025-01-16,collision,closed,0.0,1419.54,2025-01-16,2025-02-02,low
CL-0000032,P-000093,auto,2024-09-02,collision,denied,0.0,0.0,2024-09-02,2024-09-19,high
CL-0000033,P-000102,homeowners,2025-12-03,hail,closed,0.0,4648.59,2025-12-03,2025-12-20,low
CL-0000034,P-000103,auto,2025-07-07,collision,closed,0.0,7797.44,2025-07-07,2025-07-19,low
CL-0000035,P-000112,auto,2024-11-08,collision,open,2012.59,5832.55,2024-11-08,,high
CL-0000036,P-000119,auto,2024-08-09,collision,closed,0.0,270.41,2024-08-09,2024-08-13,medium
CL-0000037,P-000120,auto,2024-08-11,comprehensive,closed,0.0,1317.81,2024-08-11,2024-08-25,low
CL-0000038,P-000127,renters,2024-10-09,fire,closed,0.0,20449.72,2024-10-09,2024-10-20,medium
CL-0000039,P-000137,commercial_property,2025-10-08,fire,closed,0.0,10147.3,2025-10-08,2025-10-21,high
CL-0000040,P-000141,auto,2025-11-03,comprehensive,denied,0.0,0.0,2025-11-03,2025-11-28,low
CL-0000041,P-000142,homeowners,2025-01-11,water_damage,closed,0.0,635.09,2025-01-11,2025-02-05,medium
CL-0000042,P-000151,homeowners,2025-11-28,hail,open,736.31,1359.79,2025-11-28,,medium
CL-0000043,P-000175,renters,2026-03-12,fire,closed,0.0,3295.53,2026-03-12,2026-04-04,medium
CL-0000044,P-000179,homeowners,2025-06-27,hail,closed,0.0,3674.44,2025-06-27,2025-07-10,low
CL-0000045,P-000190,auto,2025-07-18,collision,open,1257.27,3625.52,2025-07-18,,low
CL-0000046,P-000196,auto,2024-11-16,comprehensive,open,3664.37,6287.93,2024-11-16,,low
CL-0000047,P-000197,auto,2024-12-26,collision,closed,0.0,3903.72,2024-12-26,2025-01-10,medium
CL-0000048,P-000197,auto,2024-06-16,collision,open,404.51,1186.64,2024-06-16,,medium
CL-0000049,P-000199,homeowners,2024-07-18,hail,closed,0.0,7356.65,2024-07-18,2024-08-25,low
CL-0000050,P-000202,auto,2025-09-11,collision,closed,0.0,4985.31,2025-09-11,2025-09-26,high
CL-0000051,P-000203,auto,2025-09-22,collision,open,94.96,286.22,2025-09-22,,low
CL-0000052,P-000204,auto,2025-04-22,collision,closed,0.0,879.42,2025-04-22,2025-05-09,low
CL-0000053,P-000213,auto,2025-05-28,collision,closed,0.0,3895.25,2025-05-28,2025-06-10,low
CL-0000054,P-000214,auto,2025-11-28,collision,closed,0.0,3317.26,2025-11-28,2025-12-06,low
CL-0000055,P-000214,auto,2024-06-05,collision,closed,0.0,10310.39,2024-06-05,2024-06-28,medium
CL-0000056,P-000223,homeowners,2024-02-17,hail,closed,0.0,2559.2,2024-02-17,2024-02-23,medium
CL-0000057,P-000227,auto,2024-10-20,collision,closed,0.0,5337.99,2024-10-20,2024-11-03,high
CL-0000058,P-000227,auto,2024-10-26,collision,open,912.97,2497.01,2024-10-26,,low
CL-0000059,P-000228,auto,2025-05-14,collision,closed,0.0,1769.67,2025-05-14,2025-05-19,medium
CL-0000060,P-000228,auto,2025-04-24,collision,closed,0.0,1821.4,2025-04-24,2025-04-29,low
CL-0000061,P-000232,auto,2024-07-20,collision,closed,0.0,859.29,2024-07-20,2024-08-01,low
CL-0000062,P-000233,commercial_property,2024-02-12,theft,open,300.68,635.91,2024-02-12,,medium
CL-0000063,P-000234,auto,2025-02-07,collision,closed,0.0,2846.65,2025-02-07,2025-02-25,medium
CL-0000064,P-000234,auto,2025-06-09,theft,closed,0.0,892.04,2025-06-09,2025-06-16,low
CL-0000065,P-000239,auto,2024-04-21,collision,closed,0.0,3771.05,2024-04-21,2024-04-25,low
CL-0000066,P-000242,commercial_property,2024-12-06,fire,open,5760.3,7356.9,2024-12-06,,medium
CL-0000067,P-000244,auto,2024-09-06,collision,open,1384.7,2754.49,2024-09-06,,low
CL-0000068,P-000245,auto,2024-05-24,collision,open,621.17,1071.02,2024-05-24,,medium
CL-0000069,P-000255,auto,2025-10-16,collision,open,629.9,2499.62,2025-10-16,,low
CL-0000070,P-000268,homeowners,2025-05-23,water_damage,denied,0.0,0.0,2025-05-23,2025-06-10,low
CL-0000071,P-000270,auto,2025-11-26,collision,closed,0.0,4807.69,2025-11-26,2025-12-09,low
CL-0000072,P-000270,auto,2025-06-28,collision,closed,0.0,1827.67,2025-06-28,2025-06-30,medium
CL-0000073,P-000274,auto,2024-11-11,comprehensive,closed,0.0,4056.35,2024-11-11,2024-11-27,medium
CL-0000074,P-000282,homeowners,2024-12-22,water_damage,closed,0.0,460.35,2024-12-22,2025-01-09,medium
CL-0000075,P-000284,auto,2024-08-09,collision,closed,0.0,7229.58,2024-08-09,2024-08-22,medium
CL-0000076,P-000290,auto,2025-02-21,collision,closed,0.0,1149.48,2025-02-21,2025-03-06,high
CL-0000077,P-000300,auto,2025-01-13,collision,closed,0.0,1641.97,2025-01-13,2025-01-21,medium
CL-0000078,P-000306,renters,2024-12-22,theft,closed,0.0,565.44,2024-12-22,2025-02-05,medium
CL-0000079,P-000310,commercial_property,2025-09-23,theft,open,742.04,1175.48,2025-09-23,,low
CL-0000080,P-000313,homeowners,2025-02-24,water_damage,open,4760.93,6678.87,2025-02-24,,cat
CL-0000081,P-000317,homeowners,2024-12-28,theft,open,2313.68,4040.54,2024-12-28,,low
CL-0000082,P-000327,auto,2025-09-28,comprehensive,open,1621.73,4737.15,2025-09-28,,medium
CL-0000083,P-000331,homeowners,2025-10-05,water_damage,closed,0.0,2389.94,2025-10-05,2025-10-10,medium
CL-0000084,P-000335,auto,2024-08-13,collision,closed,0.0,1447.46,2024-08-13,2024-09-08,high
CL-0000085,P-000336,auto,2024-05-28,comprehensive,closed,0.0,5929.88,2024-05-28,2024-06-17,low
CL-0000086,P-000344,renters,2025-10-25,fire,open,11114.64,19035.49,2025-10-25,,low
CL-0000087,P-000345,homeowners,2025-01-18,fire,open,10869.74,41867.35,2025-01-18,,low
CL-0000088,P-000353,homeowners,2025-07-25,hail,closed,0.0,3483.93,2025-07-25,2025-07-30,high
CL-0000089,P-000354,homeowners,2025-01-13,hail,open,851.31,1465.05,2025-01-13,,medium
CL-0000090,P-000354,homeowners,2025-12-11,hail,open,1083.76,1472.35,2025-12-11,,low
CL-0000091,P-000365,auto,2025-01-05,comprehensive,closed,0.0,660.18,2025-01-05,2025-01-12,medium
CL-0000092,P-000368,auto,2025-10-19,collision,closed,0.0,3595.89,2025-10-19,2025-11-04,low
CL-0000093,P-000375,auto,2024-12-26,collision,closed,0.0,13951.76,2024-12-26,2024-12-29,medium
