coverage_id,policy_id,coverage_type,limit,deductible,premium_component
CV-0000001,P-000001,liability_bi,50000.0,200,132.68
CV-0000002,P-000001,liability_pd,25000.0,200,79.28
CV-0000003,P-000001,collision,15000.0,800,103.6
CV-0000004,P-000001,comprehensive,15000.0,400,114.32
CV-0000005,P-000001,uninsured_motorist,25000.0,400,102.24
CV-0000006,P-000001,medical_payments,5000.0,200,72.46
CV-0000007,P-000002,liability_bi,50000.0,200,100.37
CV-0000008,P-000002,liability_pd,25000.0,200,94.83
CV-0000009,P-000002,collision,15000.0,200,97.29
CV-0000010,P-000002,comprehensive,15000.0,200,36.43
CV-0000011,P-000002,uninsured_motorist,25000.0,200,45.53
CV-0000012,P-000002,medical_payments,5000.0,0,92.79
CV-0000013,P-000003,liability_bi,50000.0,400,101.21
CV-0000014,P-000003,liability_pd,25000.0,400,75.74
CV-0000015,P-000003,collision,15000.0,800,66.84
CV-0000016,P-000003,comprehensive,15000.0,800,88.4
CV-0000017,P-000003,uninsured_motorist,25000.0,400,103.99
CV-0000018,P-000003,medical_payments,5000.0,200,35.56
CV-0000019,P-000004,personal_property,35000.0,500,34.86
CV-0000020,P-000004,liability,50000.0,100,51.49
CV-0000021,P-000004,loss_of_use,5000.0,100,58.79
CV-0000022,P-000005,personal_property,15000.0,100,24.81
CV-0000023,P-000005,liability,50000.0,100,31.33
CV-0000024,P-000005,loss_of_use,5000.0,250,26.62
CV-0000025,P-000006,liability_bi,50000.0,800,32.92
CV-0000026,P-000006,liability_pd,25000.0,200,95.74
CV-0000027,P-000006,collision,15000.0,800,51.72
CV-0000028,P-000006,comprehensive,15000.0,0,72.93
CV-0000029,P-000006,uninsured_motorist,25000.0,400,94.9
CV-0000030,P-000006,medical_payments,5000.0,0,50.11
CV-0000031,P-000007,liability_bi,50000.0,400,57.25
CV-0000032,P-000007,liability_pd,25000.0,200,114.53
CV-0000033,P-000007,collision,15000.0,800,40.19
CV-0000034,P-000007,comprehensive,15000.0,800,103.02
CV-0000035,P-000007,uninsured_motorist,25000.0,800,37.68
CV-0000036,P-000007,medical_payments,5000.0,800,51.93
CV-0000037,P-000008,dwelling,168085.49,500,103.04
CV-0000038,P-000008,other_structures,16808.55,1500,130.45
CV-0000039,P-000008,personal_property,33617.1,500,148.47
CV-0000040,P-000008,loss_of_use,16808.55,500,89.06
CV-0000041,P-000008,personal_liability,100000.0,1500,48.0
CV-0000042,P-000008,medical_payments,5000.0,500,152.43
CV-0000043,P-000009,personal_property,35000.0,100,36.28
CV-0000044,P-000009,liability,50000.0,250,69.13
CV-0000045,P-000009,loss_of_use,5000.0,500,34.87
CV-0000046,P-000010,dwelling,96349.37,250,43.18
CV-0000047,P-000010,other_structures,9634.94,500,32.58
CV-0000048,P-000010,personal_property,19269.87,500,62.99
CV-0000049,P-000010,loss_of_use,9634.94,250,36.42
CV-0000050,P-000010,personal_liability,100000.0,250,67.96
CV-0000051,P-000010,medical_payments,5000.0,1000,43.21
CV-0000052,P-000011,dwelling,41518.71,500,62.74
CV-0000053,P-000011,other_structures,4151.87,250,88.35
CV-0000054,P-000011,personal_property,8303.74,250,84.94
CV-0000055,P-000011,loss_of_use,4151.87,1500,87.04
CV-0000056,P-000011,personal_liability,100000.0,1500,65.2
CV-0000057,P-000011,medical_payments,5000.0,500,48.82
CV-0000058,P-000012,liability_bi,50000.0,400,66.1
CV-0000059,P-000012,liability_pd,25000.0,400,57.97
CV-0000060,P-000012,collision,15000.0,200,81.6
CV-0000061,P-000012,comprehensive,15000.0,200,50.61
CV-0000062,P-000012,uninsured_motorist,25000.0,400,63.17
CV-0000063,P-000012,medical_payments,5000.0,400,39.0
CV-0000064,P-000013,dwelling,87764.25,500,94.31
CV-0000065,P-000013,other_structures,8776.43,500,54.8
CV-0000066,P-000013,personal_property,17552.85,250,82.43
CV-0000067,P-000013,loss_of_use,8776.43,250,41.86
CV-0000068,P-000013,personal_liability,100000.0,1000,96.28
CV-0000069,P-000013,medical_payments,5000.0,1000,52.1
CV-0000070,P-000014,dwelling,192038.03,1500,119.51
CV-0000071,P-000014,other_structures,19203.8,1500,155.59
CV-0000072,P-000014,personal_property,38407.61,500,156.85
CV-0000073,P-000014,loss_of_use,19203.8,500,144.12
CV-0000074,P-000014,personal_liability,100000.0,500,147.56
CV-0000075,P-000014,medical_payments,5000.0,1000,90.48
CV-0000076,P-000015,liability_bi,50000.0,400,118.15
CV-0000077,P-000015,liability_pd,25000.0,200,78.89
CV-0000078,P-000015,collision,15000.0,200,69.43
CV-0000079,P-000015,comprehensive,15000.0,400,108.03
CV-0000080,P-000015,uninsured_motorist,25000.0,800,101.25
CV-0000081,P-000015,medical_payments,5000.0,800,73.76
CV-0000082,P-000016,liability_bi,50000.0,200,77.16
CV-0000083,P-000016,liability_pd,25000.0,400,38.32
CV-0000084,P-000016,collision,15000.0,200,70.21
CV-0000085,P-000016,comprehensive,15000.0,400,27.09
CV-0000086,P-000016,uninsured_motorist,25000.0,400,76.5
CV-0000087,P-000016,medical_payments,5000.0,200,67.26
CV-0000088,P-000017,dwelling,108484.98,500,45.15
CV-0000089,P-000017,other_structures,10848.5,500,64.46
CV-0000090,P-000017,personal_property,21697.0,1500,80.59
CV-0000091,P-000017,loss_of_use,10848.5,500,40.7
CV-0000092,P-000017,personal_liability,100000.0,1000,111.76
CV-0000093,P-000017,medical_payments,5000.0,250,114.13
CV-0000094,P-000018,liability_bi,50000.0,200,84.81
CV-0000095,P-000018,liability_pd,25000.0,400,97.29
CV-0000096,P-000018,collision,15000.0,200,59.25
CV-0000097,P-000018,comprehensive,15000.0,400,112.15
CV-0000098,P-000018,uninsured_motorist,25000.0,0,69.77
CV-0000099,P-000018,medical_payments,5000.0,200,90.43
CV-0000100,P-000019,liability_bi,50000.0,200,100.9
CV-0000101,P-000019,liability_pd,25000.0,0,31.07
CV-0000102,P-000019,collision,15000.0,200,91.76
CV-0000103,P-000019,comprehensive,15000.0,0,29.21
CV-0000104,P-000019,uninsured_motorist,25000.0,0,67.69
CV-0000105,P-000019,medical_payments,5000.0,400,58.63
CV-0000106,P-000020,liability_bi,50000.0,800,101.8
CV-0000107,P-000020,liability_pd,25000.0,200,71.93
CV-0000108,P-000020,collision,15000.0,800,123.06
CV-0000109,P-000020,comprehensive,15000.0,400,83.44
CV-0000110,P-000020,uninsured_motorist,25000.0,400,91.83
CV-0000111,P-000020,medical_payments,5000.0,200,58.77
CV-0000112,P-000021,liability_bi,50000.0,200,133.17
CV-0000113,P-000021,liability_pd,25000.0,200,63.98
CV-0000114,P-000021,collision,15000.0,200,86.57
CV-0000115,P-000021,comprehensive,15000.0,800,123.99
CV-0000116,P-000021,uninsured_motorist,25000.0,200,91.1
CV-0000117,P-000021,medical_payments,5000.0,800,90.92
CV-0000118,P-000022,liability_bi,50000.0,400,54.44
CV-0000119,P-000022,liability_pd,25000.0,800,52.51
CV-0000120,P-000022,collision,15000.0,200,33.72
CV-0000121,P-000022,comprehensive,15000.0,200,39.36
CV-0000122,P-000022,uninsured_motorist,25000.0,200,46.01
CV-0000123,P-000022,medical_payments,5000.0,200,51.1
CV-0000124,P-000023,dwelling,94806.02,1000,59.71
CV-0000125,P-000023,other_structures,9480.6,1000,94.97
CV-0000126,P-000023,personal_property,18961.2,1000,83.59
CV-0000127,P-000023,loss_of_use,9480.6,250,112.48
CV-0000128,P-000023,personal_liability,100000.0,1500,109.27
CV-0000129,P-000023,medical_payments,5000.0,1500,107.03
CV-0000130,P-000024,building,1582590.16,1000,309.82
CV-0000131,P-000024,contents,856424.36,5000,226.5
CV-0000132,P-000024,business_interruption,633036.07,2500,275.95
CV-0000133,P-000024,equipment_breakdown,316518.03,5000,292.12
CV-0000134,P-000024,liability,250000.0,2500,407.45
CV-0000135,P-000025,liability_bi,50000.0,400,79.66
CV-0000136,P-000025,liability_pd,25000.0,400,54.54
CV-0000137,P-000025,collision,15000.0,400,48.53
CV-0000138,P-000025,comprehensive,15000.0,400,40.76
CV-0000139,P-000025,uninsured_motorist,25000.0,200,32.22
CV-0000140,P-000025,medical_payments,5000.0,400,84.53
CV-0000141,P-000026,dwelling,104107.88,500,38.0
CV-0000142,P-000026,other_structures,10410.79,1000,100.49
CV-0000143,P-000026,personal_property,20821.58,500,83.02
CV-0000144,P-000026,loss_of_use,10410.79,1000,100.16
CV-0000145,P-000026,personal_liability,100000.0,1000,47.45
CV-0000146,P-000026,medical_payments,5000.0,500,37.83
CV-0000147,P-000027,dwelling,93608.17,1500,58.14
CV-0000148,P-000027,other_structures,9360.82,250,53.9
CV-0000149,P-000027,personal_property,18721.63,500,101.0
CV-0000150,P-000027,loss_of_use,9360.82,500,97.09
CV-0000151,P-000027,personal_liability,100000.0,250,59.1
CV-0000152,P-000027,medical_payments,5000.0,1500,69.85
CV-0000153,P-000028,dwelling,62258.37,1000,57.94
CV-0000154,P-000028,other_structures,6225.84,1000,93.08
CV-0000155,P-000028,personal_property,12451.67,1000,72.45
CV-0000156,P-000028,loss_of_use,6225.84,500,29.15
CV-0000157,P-000028,personal_liability,100000.0,1000,38.2
CV-0000158,P-000028,medical_payments,5000.0,500,79.7
CV-0000159,P-000029,liability_bi,50000.0,200,25.93
CV-0000160,P-000029,liability_pd,25000.0,800,56.64
CV-0000161,P-000029,collision,15000.0,0,77.9
CV-0000162,P-000029,comprehensive,15000.0,400,64.69
CV-0000163,P-000029,uninsured_motorist,25000.0,400,50.44
CV-0000164,P-000029,medical_payments,5000.0,800,46.95
CV-0000165,P-000030,liability_bi,50000.0,400,69.63
CV-0000166,P-000030,liability_pd,25000.0,200,59.55
CV-0000167,P-000030,collision,15000.0,200,102.24
CV-0000168,P-000030,comprehensive,15000.0,400,89.58
CV-0000169,P-000030,uninsured_motorist,25000.0,400,109.16
CV-0000170,P-000030,medical_payments,5000.0,800,69.74
CV-0000171,P-000031,personal_property,15000.0,100,28.76
CV-0000172,P-000031,liability,50000.0,250,34.32
CV-0000173,P-000031,loss_of_use,5000.0,500,17.61
CV-0000174,P-000032,personal_property,35000.0,250,57.34
CV-0000175,P-000032,liability,50000.0,100,44.49
CV-0000176,P-000032,loss_of_use,5000.0,100,52.63
CV-0000177,P-000033,building,165573.32,2500,83.35
CV-0000178,P-000033,contents,1637517.22,2500,202.57
CV-0000179,P-000033,business_interruption,66229.33,2500,271.55
CV-0000180,P-000033,equipment_breakdown,33114.66,1000,301.68
CV-0000181,P-000033,liability,250000.0,2500,105.58
CV-0000182,P-000034,liability_bi,50000.0,800,74.67
CV-0000183,P-000034,liability_pd,25000.0,400,56.66
CV-0000184,P-000034,collision,15000.0,200,81.64
CV-0000185,P-000034,comprehensive,15000.0,800,61.79
CV-0000186,P-000034,uninsured_motorist,25000.0,0,82.63
CV-0000187,P-000034,medical_payments,5000.0,400,45.52
CV-0000188,P-000035,dwelling,136104.79,1000,105.35
CV-0000189,P-000035,other_structures,13610.48,500,115.18
CV-0000190,P-000035,personal_property,27220.96,1000,103.9
CV-0000191,P-000035,loss_of_use,13610.48,1500,36.03
CV-0000192,P-000035,personal_liability,100000.0,500,42.53
CV-0000193,P-000035,medical_payments,5000.0,1500,69.37
CV-0000194,P-000036,liability_bi,50000.0,400,26.3
CV-0000195,P-000036,liability_pd,25000.0,400,31.2
CV-0000196,P-000036,collision,15000.0,400,51.93
CV-0000197,P-000036,comprehensive,15000.0,400,54.77
CV-0000198,P-000036,uninsured_motorist,25000.0,200,69.99
CV-0000199,P-000036,medical_payments,5000.0,800,57.39
