event_id,claim_id,county_code,county_name,city,postal_code,temperature_c,precip_mm,wind_mps,hail_size_cm
EV-0000001,CL-0000001,CT,Constanta,Mangalia,564723,24.0,12.9,6.9,0.0
EV-0000002,CL-0000002,CJ,Cluj,Cluj-Napoca,231274,7.5,14.8,1.5,0.17
EV-0000003,CL-0000003,TL,Tulcea,Tulcea,288243,12.9,14.1,3.1,1.37
EV-0000004,CL-0000004,GL,Galati,Tecuci,617353,4.0,2.1,4.6,0.15
EV-0000005,CL-0000005,AR,Arad,Ineu,637735,6.5,2.0,0.1,0.0
EV-0000006,CL-0000006,AR,Arad,Ineu,637735,2.7,7.6,5.7,0.13
EV-0000007,CL-0000007,BR,Braila,Braila,842712,-1.7,3.2,4.5,0.0
EV-0000008,CL-0000008,BR,Braila,Braila,842712,12.0,13.2,6.5,0.03
EV-0000009,CL-0000009,BZB,Bucuresti,Sector 1,881656,-13.4,1.5,0.4,0.0
EV-0000010,CL-0000010,BZB,Bucuresti,Sector 1,881656,-4.9,2.4,6.7,0.0
EV-0000011,CL-0000011,CT,Constanta,Medgidia,857630,19.4,2.1,7.3,1.1
EV-0000012,CL-0000012,BZB,Bucuresti,Sector 2,678946,15.6,3.3,4.3,1.49
EV-0000013,CL-0000013,AG,Arges,Campulung,351930,-8.3,8.2,1.1,0.04
EV-0000014,CL-0000014,AG,Arges,Campulung,351930,20.8,9.5,5.6,0.01
EV-0000015,CL-0000015,CJ,Cluj,Turda,340504,20.5,1.3,2.5,0.03
EV-0000016,CL-0000016,BZB,Bucuresti,Sector 1,449454,8.4,2.5,5.0,0.39
EV-0000017,CL-0000017,AB,Alba,Alba Iulia,119631,2.4,20.7,4.9,1.17
EV-0000018,CL-0000018,BZB,Bucuresti,Sector 5,382296,9.6,4.1,2.0,0.0
EV-0000019,CL-0000019,BZB,Bucuresti,Sector 5,382296,6.2,2.6,2.8,0.44
EV-0000020,CL-0000020,BN,Bistrita-Nasaud,Nasaud,178416,14.6,6.8,1.7,0.0
EV-0000021,CL-0000021,AR,Arad,Lipova,326787,5.0,19.3,2.9,0.58
EV-0000022,CL-0000022,BZB,Bucuresti,Sector 2,855172,-4.7,9.8,2.4,0.0
EV-0000023,CL-0000023,IF,Ilfov,Voluntari,448686,42.8,16.1,1.6,0.0
EV-0000024,CL-0000024,BZB,Bucuresti,Sector 2,943144,8.3,4.4,6.2,0.0
EV-0000025,CL-0000025,BZB,Bucuresti,Sector 2,943144,1.9,4.4,9.0,0.49
