policy_id,customer_id,product_type,start_date,end_date,status,channel,discount_pct,gross_premium
P-000001,C-004904,auto,2024-01-06,2024-08-06,active,partner,0.034,615.72
P-000002,C-001383,auto,2024-08-31,2026-01-11,active,online,0.002,489.67
P-000003,C-004949,auto,2024-12-28,2026-02-16,active,agent,0.0,456.38
P-000004,C-005902,renters,2024-03-17,2025-02-04,active,agent,0.077,158.58
P-000005,C-003070,renters,2024-06-11,2025-03-14,active,online,0.0,101.39
P-000006,C-006738,auto,2024-09-11,2025-11-09,active,agent,0.047,407.49
P-000007,C-001435,auto,2024-07-22,2025-03-28,active,online,0.007,506.07
P-000008,C-000862,homeowners,2024-09-19,2025-04-15,lapsed,online,0.014,456.3
P-000009,C-003215,renters,2024-08-21,2025-03-13,active,online,0.0,179.49
P-000010,C-004855,homeowners,2024-01-08,2024-09-10,lapsed,online,0.079,318.53
P-000011,C-004126,homeowners,2024-12-01,2025-10-08,active,online,0.005,253.77
P-000012,C-005053,auto,2024-05-03,2025-09-01,active,agent,0.045,341.25
P-000013,C-003178,homeowners,2024-06-20,2025-03-05,active,online,0.063,320.98
P-000014,C-006553,homeowners,2024-11-09,2025-10-14,active,online,0.061,481.07
P-000015,C-005564,auto,2024-05-19,2025-08-16,active,partner,0.059,479.24
P-000016,C-003577,auto,2024-07-11,2025-10-20,active,online,0.07,381.08
P-000017,C-006470,homeowners,2024-06-29,2025-12-15,active,online,0.103,331.25
P-000018,C-001155,auto,2024-03-18,2024-10-04,active,online,0.0,503.92
P-000019,C-006323,auto,2024-11-09,2026-04-23,active,agent,0.052,408.38
P-000020,C-005656,auto,2024-07-03,2025-07-26,active,agent,0.089,524.4
P-000021,C-003290,auto,2024-11-26,2025-07-10,active,agent,0.015,553.72
P-000022,C-004630,auto,2024-12-26,2025-10-09,active,agent,0.0,316.01
P-000023,C-006334,homeowners,2024-03-17,2025-01-25,active,agent,0.021,338.21
P-000024,C-001935,commercial_property,2024-11-29,2025-08-19,active,agent,0.095,2014.38
P-000025,C-003496,auto,2024-05-30,2025-09-07,active,agent,0.026,379.29
P-000026,C-005348,homeowners,2024-08-21,2025-07-10,active,online,0.074,324.29
P-000027,C-002502,homeowners,2024-08-06,2025-07-06,active,online,0.127,293.78
P-000028,C-005397,homeowners,2024-04-18,2025-04-17,active,agent,0.051,282.23
P-000029,C-006077,auto,2024-10-10,2025-10-06,active,agent,0.0,330.55
P-000030,C-001820,auto,2024-08-03,2025-04-07,lapsed,online,0.006,445.71
P-000031,C-004970,renters,2024-09-05,2025-04-07,active,online,0.049,95.5
P-000032,C-003278,renters,2024-10-29,2025-05-03,active,online,0.095,155.82
