property_id,policy_id,year_built,construction,area_sqm,floors,has_alarm,replacement_cost,location_type,sprinkler_grade,building_value,contents_value
H-000008,P-000008,1965.0,brick,186.0,1.0,True,168085.49,,,,
H-000010,P-000010,2001.0,concrete,122.0,1.0,True,96349.37,,,,
H-000011,P-000011,2008.0,brick,42.0,1.0,True,41518.71,,,,
H-000013,P-000013,2020.0,concrete,124.0,2.0,False,87764.25,,,,
H-000014,P-000014,2003.0,brick,212.0,1.0,False,192038.03,,,,
H-000017,P-000017,2003.0,brick,116.0,2.0,True,108484.98,,,,
H-000023,P-000023,2019.0,brick,82.0,2.0,False,94806.02,,,,
C-000024,P-000024,,,,,,,factory,C,1582590.16,856424.36
H-000026,P-000026,1997.0,brick,110.0,1.0,False,104107.88,,,,
H-000027,P-000027,1967.0,brick,93.0,1.0,True,93608.17,,,,
H-000028,P-000028,1974.0,concrete,76.0,2.0,True,62258.37,,,,
C-000033,P-000033,,,,,,,office,B,165573.32,1637517.22
H-000035,P-000035,1986.0,brick,125.0,1.0,True,136104.79,,,,
H-000038,P-000038,2000.0,brick,139.0,3.0,True,143748.13,,,,
H-000041,P-000041,1978.0,brick,79.0,2.0,True,76766.12,,,,
H-000042,P-000042,2011.0,brick,98.0,2.0,True,80701.66,,,,
C-000044,P-000044,,,,,,,warehouse,A,949864.95,217895.45
H-000046,P-000046,1990.0,brick,65.0,2.0,True,42950.06,,,,
H-000047,P-000047,1996.0,concrete,62.0,1.0,False,58092.11,,,,
H-000048,P-000048,1991.0,concrete,125.0,2.0,True,106610.71,,,,
H-000050,P-000050,2000.0,brick,50.0,2.0,False,48202.51,,,,
H-000053,P-000053,2004.0,concrete,129.0,1.0,True,89833.82,,,,
H-000054,P-000054,1975.0,concrete,126.0,1.0,True,113085.87,,,,
H-000055,P-000055,2001.0,concrete,40.0,2.0,True,35201.0,,,,
C-000057,P-000057,,,,,,,office,C,1182508.94,2227673.34
H-000058,P-000058,1986.0,brick,40.0,2.0,False,34002.76,,,,
H-000064,P-000064,2019.0,brick,108.0,4.0,True,108085.1,,,,
H-000066,P-000066,2019.0,concrete,88.0,1.0,True,68278.81,,,,
H-000068,P-000068,1969.0,concrete,68.0,1.0,False,63818.02,,,,
H-000069,P-000069,1966.0,concrete,88.0,1.0,True,76497.4,,,,
H-000075,P-000075,1973.0,brick,120.0,2.0,True,118990.42,,,,
H-000078,P-000078,2011.0,concrete,131.0,1.0,True,123324.32,,,,
C-000079,P-000079,,,,,,,factory,B,4769819.68,1515186.22
H-000080,P-000080,1977.0,brick,151.0,2.0,True,164644.79,,,,
H-000081,P-000081,2006.0,brick,94.0,1.0,True,95130.17,,,,
H-000082,P-000082,2015.0,brick,92.0,2.0,False,98182.11,,,,
H-000083,P-000083,1976.0,brick,130.0,1.0,True,134870.8,,,,
H-000085,P-000085,1970.0,concrete,135.0,3.0,True,99225.79,,,,
C-000086,P-000086,,,,,,,retail,A,3829744.83,809540.24
C-000087,P-000087,,,,,,,office,B,1237899.57,1198777.41
H-000088,P-000088,1969.0,brick,83.0,1.0,True,74563.14,,,,
C-000090,P-000090,,,,,,,office,B,2354031.47,1861612.82
C-000094,P-000094,,,,,,,warehouse,B,2485624.11,1360784.23
C-000099,P-000099,,,,,,,office,B,1920096.03,350552.08
H-000102,P-000102,2017.0,brick,122.0,3.0,True,118849.67,,,,
H-000105,P-000105,1985.0,brick,79.0,1.0,True,59420.87,,,,
H-000106,P-000106,2005.0,brick,124.0,1.0,False,101482.57,,,,
C-000111,P-000111,,,,,,,office,A,3144544.42,1061804.26
C-000116,P-000116,,,,,,,office,A,1130311.16,1687235.54
C-000117,P-000117,,,,,,,office,None,1059950.19,2268800.46
H-000121,P-000121,1967.0,wood,159.0,1.0,True,111606.58,,,,
H-000123,P-000123,1998.0,concrete,90.0,2.0,True,80825.62,,,,
H-000126,P-000126,2019.0,concrete,42.0,2.0,False,30491.52,,,,
C-000129,P-000129,,,,,,,retail,None,543834.03,921588.01
H-000131,P-000131,1996.0,concrete,180.0,2.0,False,193484.87,,,,
H-000132,P-000132,1989.0,concrete,130.0,2.0,True,86120.47,,,,
H-000133,P-000133,1966.0,brick,203.0,1.0,False,188853.34,,,,
H-000136,P-000136,1977.0,brick,53.0,1.0,False,43699.49,,,,
C-000137,P-000137,,,,,,,warehouse,A,4083540.75,586647.92
H-000139,P-000139,1985.0,concrete,140.0,3.0,False,106208.68,,,,
H-000140,P-000140,1973.0,concrete,95.0,1.0,False,98638.75,,,,
H-000142,P-000142,1981.0,brick,169.0,2.0,False,120022.55,,,,
H-000143,P-000143,2017.0,brick,153.0,1.0,False,155333.43,,,,
C-000145,P-000145,,,,,,,retail,C,4929858.68,2059185.96
H-000148,P-000148,2004.0,brick,65.0,1.0,False,72208.18,,,,
C-000149,P-000149,,,,,,,office,A,3451902.62,864410.73
H-000151,P-000151,1995.0,concrete,133.0,2.0,True,75320.75,,,,
H-000157,P-000157,1974.0,brick,118.0,2.0,True,91023.52,,,,
