vehicle_id,policy_id,make,model,year,annual_mileage,telematics_score,night_driving_pct,hard_brakes_per_100km,overspeed_events_per_100km,phone_use_pct
V-000001,P-000001,Volkswagen,Polo,2010,28049,67.4,0.58,2.8,3.8,0.262
V-000002,P-000002,Dacia,Logan,2015,15326,54.1,0.33,0.7,0.8,0.231
V-000003,P-000003,Renault,Captur,2017,15991,77.1,0.783,3.7,0.6,0.05
V-000006,P-000006,Volkswagen,Golf,2009,13764,77.0,0.583,0.5,1.6,0.15
V-000007,P-000007,Skoda,Superb,2016,17681,66.3,0.284,8.4,2.2,0.296
V-000012,P-000012,Renault,Captur,2023,11067,93.2,0.512,4.9,2.5,0.071
V-000015,P-000015,Volkswagen,Golf,2022,18607,65.5,0.051,3.1,0.3,0.188
V-000016,P-000016,Toyota,Corolla,2008,13054,60.5,0.468,1.3,0.7,0.2
V-000018,P-000018,Volkswagen,Golf,2013,19257,68.9,0.559,10.2,3.0,0.214
V-000019,P-000019,Skoda,Fabia,2020,14321,70.8,0.143,2.5,6.8,0.094
V-000020,P-000020,Toyota,Yaris,2023,22021,56.9,0.184,8.6,2.3,0.207
V-000021,P-000021,Skoda,Superb,2015,23504,68.3,0.19,2.7,2.3,0.142
V-000022,P-000022,Skoda,Fabia,2010,6195,65.6,0.101,0.5,0.2,0.567
V-000025,P-000025,Skoda,Fabia,2019,11073,70.8,0.097,1.6,1.1,0.043
V-000029,P-000029,Volkswagen,Passat,2005,6265,73.2,0.307,4.5,3.3,0.136
V-000030,P-000030,Skoda,Octavia,2007,18329,90.3,0.067,1.3,4.2,0.214
V-000034,P-000034,Toyota,RAV4,2006,19879,70.1,0.314,7.3,1.5,0.314
V-000036,P-000036,Skoda,Octavia,2020,6357,72.5,0.506,0.5,2.1,0.115
V-000039,P-000039,Dacia,Duster,2021,3034,83.4,0.146,3.7,1.3,0.508
V-000040,P-000040,Volkswagen,Passat,2010,12381,62.2,0.51,1.4,3.9,0.377
V-000045,P-000045,Dacia,Logan,2010,4700,63.5,0.416,10.5,4.7,0.433
V-000049,P-000049,Renault,Captur,2011,9395,98.0,0.497,2.2,7.8,0.328
V-000051,P-000051,Volkswagen,Golf,2006,6223,65.8,0.414,3.5,4.8,0.144
V-000052,P-000052,Toyota,Yaris,2015,10612,81.1,0.124,4.3,0.9,0.043
V-000056,P-000056,Dacia,Sandero,2008,14584,53.8,0.302,0.3,1.9,0.532
V-000059,P-000059,Skoda,Superb,2006,17211,83.0,0.124,7.4,4.5,0.289
V-000061,P-000061,Renault,Clio,2010,17083,76.9,0.575,2.5,4.6,0.279
V-000062,P-000062,Toyota,Corolla,2024,2000,67.8,0.237,12.6,0.4,0.624
V-000065,P-000065,Dacia,Logan,2012,15891,51.7,0.446,15.1,0.8,0.25
